Column1;Column2
beautiful;365
 amazing;196
 nice;155
 interesting;141
 historical;138
 much;122
 impressive;117
 great;110
 wonderful;96
 old;84
 historic;76
 first;72
 good;66
 early;61
 stunning;56
 incredible;52
 worth;50
 magnificent;48
 huge;47
 many;45
 architectural;44
 former;39
 fantastic;32
 unique;31
 whole;24
 favorite;23
 lovely;23
 fascinating;23
 awesome;19
 grand;19
 gorgeous;18
 spectacular;18
 ancient;18
 second;18
 little;16
 cultural;16
 rich;16
 big;16
 iconic;15
 real;13
 massive;12
 cathedral;12
 current;12
 enormous;12
 large;12
 spiritual;11
 true;11
 excellent;11
 unbelievable;10
 important;10
 bad;10
 absolute;10
 main;10
 impressed;10
